Date,dAg,dAu
20/10/2009,-1.43,1.03
21/10/2009,0.96,-0.87
22/10/2009,0.75,-0.27
23/10/2009,-0.48,0.91
26/10/2009,-1.77,-0.85
27/10/2009,-2.07,-1.29
28/10/2009,0.00,-0.68
29/10/2009,1.21,0.92
30/10/2009,0.25,-0.22
02/11/2009,-1.18,1.45
03/11/2009,2.63,-0.31
04/11/2009,-0.76,1.65
05/11/2009,0.91,-0.30
06/11/2009,0.94,0.84
09/11/2009,-1.54,0.95
10/11/2009,1.46,-0.69
11/11/2009,-0.83,1.12
12/11/2009,-1.03,-0.21
13/11/2009,1.55,-0.98
16/11/2009,1.42,1.53
17/11/2009,1.88,0.65
18/11/2009,-1.70,1.12
19/11/2009,-0.33,-1.08
20/11/2009,1.79,0.63
23/11/2009,-1.01,1.61
24/11/2009,0.57,-0.73
25/11/2009,-0.87,1.19
26/11/2009,-2.01,0.50
27/11/2009,1.50,-1.17
30/11/2009,1.79,0.89
01/12/2009,1.57,1.19
02/12/2009,-0.60,1.30
03/12/2009,-1.21,-0.56
04/12/2009,-2.05,-1.24
07/12/2009,0.62,-2.00
08/12/2009,-1.37,0.61
09/12/2009,-1.46,-0.71
10/12/2009,0.83,-1.05
11/12/2009,-1.35,-0.63
14/12/2009,-0.24,-0.15
15/12/2009,1.56,-0.39
16/12/2009,-1.07,1.18
17/12/2009,-0.72,-1.34
18/12/2009,-0.48,-1.06
21/12/2009,-1.36,0.30
22/12/2009,-0.42,-1.39
23/12/2009,1.54,0.34
24/12/2009,0.76,1.38
29/12/2009,-1.69,-1.29
30/12/2009,0.64,1.77
31/12/2009,1.03,0.40
04/01/2010,1.53,0.78
05/01/2010,1.35,0.15
06/01/2010,1.06,-0.56
07/01/2010,0.41,1.53
08/01/2010,1.99,-0.39
11/01/2010,-1.51,-1.44
12/01/2010,-0.57,0.99
13/01/2010,1.12,-0.95
14/01/2010,-0.57,0.76
15/01/2010,0.87,-0.36
18/01/2010,-0.93,-1.06
19/01/2010,-0.33,-1.03
20/01/2010,-2.08,-1.48
21/01/2010,-1.50,1.02
22/01/2010,-0.83,-0.43
25/01/2010,-1.47,0.37
26/01/2010,-0.55,-0.79
27/01/2010,-0.85,-0.93
28/01/2010,-1.41,0.86
29/01/2010,-0.61,1.50
01/02/2010,1.84,0.62
02/02/2010,0.24,-1.69
03/02/2010,-1.98,-1.53
04/02/2010,-2.44,0.75
05/02/2010,-0.44,0.83
